id	col1	col2	col3	random
0	row0_col1	row0_col2	row0_col3	3796
1	row1_col1	row1_col2	row1_col3	9
2	row2_col1	row2_col2	row2_col3	7804
3	row3_col1	row3_col2	row3_col3	9338
4	row4_col1	row4_col2	row4_col3	8894
5	row5_col1	row5_col2	row5_col3	8572
6	row6_col1	row6_col2	row6_col3	9532
7	row7_col1	row7_col2	row7_col3	2210
8	row8_col1	row8_col2	row8_col3	3264
9	row9_col1	row9_col2	row9_col3	9158
10	row10_col1	row10_col2	row10_col3	8534
11	row11_col1	row11_col2	row11_col3	3833
12	row12_col1	row12_col2	row12_col3	4399
13	row13_col1	row13_col2	row13_col3	5999
14	row14_col1	row14_col2	row14_col3	8067
15	row15_col1	row15_col2	row15_col3	2814
16	row16_col1	row16_col2	row16_col3	130
17	row17_col1	row17_col2	row17_col3	3282
18	row18_col1	row18_col2	row18_col3	7845
19	row19_col1	row19_col2	row19_col3	7264
20	row20_col1	row20_col2	row20_col3	3236
21	row21_col1	row21_col2	row21_col3	6996
22	row22_col1	row22_col2	row22_col3	1467
23	row23_col1	row23_col2	row23_col3	2752
24	row24_col1	row24_col2	row24_col3	6675
25	row25_col1	row25_col2	row25_col3	6044
26	row26_col1	row26_col2	row26_col3	9963
27	row27_col1	row27_col2	row27_col3	8763
28	row28_col1	row28_col2	row28_col3	1791
29	row29_col1	row29_col2	row29_col3	1242
30	row30_col1	row30_col2	row30_col3	6373
31	row31_col1	row31_col2	row31_col3	1498
32	row32_col1	row32_col2	row32_col3	4805
33	row33_col1	row33_col2	row33_col3	3078
34	row34_col1	row34_col2	row34_col3	4122
35	row35_col1	row35_col2	row35_col3	1019
36	row36_col1	row36_col2	row36_col3	8197
37	row37_col1	row37_col2	row37_col3	845
38	row38_col1	row38_col2	row38_col3	5364
39	row39_col1	row39_col2	row39_col3	5979
40	row40_col1	row40_col2	row40_col3	1263
41	row41_col1	row41_col2	row41_col3	3405
42	row42_col1	row42_col2	row42_col3	9900
43	row43_col1	row43_col2	row43_col3	4173
44	row44_col1	row44_col2	row44_col3	5907
45	row45_col1	row45_col2	row45_col3	1657
46	row46_col1	row46_col2	row46_col3	2037
47	row47_col1	row47_col2	row47_col3	4775
48	row48_col1	row48_col2	row48_col3	8800
49	row49_col1	row49_col2	row49_col3	7418
50	row50_col1	row50_col2	row50_col3	226
51	row51_col1	row51_col2	row51_col3	6742
52	row52_col1	row52_col2	row52_col3	9445
53	row53_col1	row53_col2	row53_col3	5349
54	row54_col1	row54_col2	row54_col3	2805
55	row55_col1	row55_col2	row55_col3	2534
56	row56_col1	row56_col2	row56_col3	6316
57	row57_col1	row57_col2	row57_col3	4155
58	row58_col1	row58_col2	row58_col3	6065
59	row59_col1	row59_col2	row59_col3	6298
60	row60_col1	row60_col2	row60_col3	4667
61	row61_col1	row61_col2	row61_col3	9835
62	row62_col1	row62_col2	row62_col3	5391
63	row63_col1	row63_col2	row63_col3	7981
64	row64_col1	row64_col2	row64_col3	5233
65	row65_col1	row65_col2	row65_col3	2288
66	row66_col1	row66_col2	row66_col3	671
67	row67_col1	row67_col2	row67_col3	6427
68	row68_col1	row68_col2	row68_col3	5155
69	row69_col1	row69_col2	row69_col3	662
70	row70_col1	row70_col2	row70_col3	4190
71	row71_col1	row71_col2	row71_col3	150
72	row72_col1	row72_col2	row72_col3	9520
73	row73_col1	row73_col2	row73_col3	790
74	row74_col1	row74_col2	row74_col3	926
75	row75_col1	row75_col2	row75_col3	4810
76	row76_col1	row76_col2	row76_col3	160
77	row77_col1	row77_col2	row77_col3	4240
78	row78_col1	row78_col2	row78_col3	2785
79	row79_col1	row79_col2	row79_col3	6289
80	row80_col1	row80_col2	row80_col3	3951
81	row81_col1	row81_col2	row81_col3	2268
82	row82_col1	row82_col2	row82_col3	7218
83	row83_col1	row83_col2	row83_col3	5438
84	row84_col1	row84_col2	row84_col3	9621
85	row85_col1	row85_col2	row85_col3	7462
86	row86_col1	row86_col2	row86_col3	26
87	row87_col1	row87_col2	row87_col3	8800
88	row88_col1	row88_col2	row88_col3	8497
89	row89_col1	row89_col2	row89_col3	3337
90	row90_col1	row90_col2	row90_col3	9854
91	row91_col1	row91_col2	row91_col3	5016
92	row92_col1	row92_col2	row92_col3	6896
93	row93_col1	row93_col2	row93_col3	2012
94	row94_col1	row94_col2	row94_col3	2994
95	row95_col1	row95_col2	row95_col3	746
96	row96_col1	row96_col2	row96_col3	9509
97	row97_col1	row97_col2	row97_col3	239
98	row98_col1	row98_col2	row98_col3	3096
99	row99_col1	row99_col2	row99_col3	9762
100	row100_col1	row100_col2	row100_col3	106
101	row101_col1	row101_col2	row101_col3	9056
102	row102_col1	row102_col2	row102_col3	3894
103	row103_col1	row103_col2	row103_col3	2641
104	row104_col1	row104_col2	row104_col3	8171
105	row105_col1	row105_col2	row105_col3	7117
