id	col1	col2	col3	random
0	row0_col1	row0_col2	row0_col3	404
1	row1_col1	row1_col2	row1_col3	5899
2	row2_col1	row2_col2	row2_col3	2564
3	row3_col1	row3_col2	row3_col3	8230
4	row4_col1	row4_col2	row4_col3	1245
5	row5_col1	row5_col2	row5_col3	6264
6	row6_col1	row6_col2	row6_col3	2483
7	row7_col1	row7_col2	row7_col3	5275
8	row8_col1	row8_col2	row8_col3	8463
9	row9_col1	row9_col2	row9_col3	4846
10	row10_col1	row10_col2	row10_col3	9918
11	row11_col1	row11_col2	row11_col3	3694
12	row12_col1	row12_col2	row12_col3	1505
13	row13_col1	row13_col2	row13_col3	7871
14	row14_col1	row14_col2	row14_col3	5795
15	row15_col1	row15_col2	row15_col3	7461
16	row16_col1	row16_col2	row16_col3	4944
17	row17_col1	row17_col2	row17_col3	4488
18	row18_col1	row18_col2	row18_col3	1068
19	row19_col1	row19_col2	row19_col3	5511
20	row20_col1	row20_col2	row20_col3	7234
21	row21_col1	row21_col2	row21_col3	450
22	row22_col1	row22_col2	row22_col3	4847
23	row23_col1	row23_col2	row23_col3	1570
24	row24_col1	row24_col2	row24_col3	4165
25	row25_col1	row25_col2	row25_col3	2579
26	row26_col1	row26_col2	row26_col3	216
27	row27_col1	row27_col2	row27_col3	123
28	row28_col1	row28_col2	row28_col3	669
29	row29_col1	row29_col2	row29_col3	1068
30	row30_col1	row30_col2	row30_col3	7803
31	row31_col1	row31_col2	row31_col3	1607
32	row32_col1	row32_col2	row32_col3	7453
33	row33_col1	row33_col2	row33_col3	7222
34	row34_col1	row34_col2	row34_col3	4456
35	row35_col1	row35_col2	row35_col3	9572
36	row36_col1	row36_col2	row36_col3	2371
37	row37_col1	row37_col2	row37_col3	2043
38	row38_col1	row38_col2	row38_col3	5888
39	row39_col1	row39_col2	row39_col3	8624
40	row40_col1	row40_col2	row40_col3	4216
41	row41_col1	row41_col2	row41_col3	432
42	row42_col1	row42_col2	row42_col3	3175
43	row43_col1	row43_col2	row43_col3	6013
44	row44_col1	row44_col2	row44_col3	664
45	row45_col1	row45_col2	row45_col3	2606
46	row46_col1	row46_col2	row46_col3	3580
47	row47_col1	row47_col2	row47_col3	3034
48	row48_col1	row48_col2	row48_col3	1920
49	row49_col1	row49_col2	row49_col3	9700
50	row50_col1	row50_col2	row50_col3	2301
51	row51_col1	row51_col2	row51_col3	4831
52	row52_col1	row52_col2	row52_col3	5659
53	row53_col1	row53_col2	row53_col3	7180
54	row54_col1	row54_col2	row54_col3	2366
55	row55_col1	row55_col2	row55_col3	5429
56	row56_col1	row56_col2	row56_col3	59
57	row57_col1	row57_col2	row57_col3	9880
58	row58_col1	row58_col2	row58_col3	5534
59	row59_col1	row59_col2	row59_col3	7290
60	row60_col1	row60_col2	row60_col3	9365
61	row61_col1	row61_col2	row61_col3	9128
62	row62_col1	row62_col2	row62_col3	6051
63	row63_col1	row63_col2	row63_col3	4805
64	row64_col1	row64_col2	row64_col3	8902
65	row65_col1	row65_col2	row65_col3	9965
66	row66_col1	row66_col2	row66_col3	3490
67	row67_col1	row67_col2	row67_col3	2437
68	row68_col1	row68_col2	row68_col3	2877
69	row69_col1	row69_col2	row69_col3	138
70	row70_col1	row70_col2	row70_col3	9062
71	row71_col1	row71_col2	row71_col3	1139
72	row72_col1	row72_col2	row72_col3	5170
73	row73_col1	row73_col2	row73_col3	6011
74	row74_col1	row74_col2	row74_col3	7341
75	row75_col1	row75_col2	row75_col3	5510
76	row76_col1	row76_col2	row76_col3	6127
77	row77_col1	row77_col2	row77_col3	7165
78	row78_col1	row78_col2	row78_col3	1313
79	row79_col1	row79_col2	row79_col3	764
80	row80_col1	row80_col2	row80_col3	2809
81	row81_col1	row81_col2	row81_col3	8447
82	row82_col1	row82_col2	row82_col3	3326
83	row83_col1	row83_col2	row83_col3	863
84	row84_col1	row84_col2	row84_col3	5266
85	row85_col1	row85_col2	row85_col3	3006
86	row86_col1	row86_col2	row86_col3	4491
87	row87_col1	row87_col2	row87_col3	1448
88	row88_col1	row88_col2	row88_col3	5858
89	row89_col1	row89_col2	row89_col3	6706
90	row90_col1	row90_col2	row90_col3	7861
91	row91_col1	row91_col2	row91_col3	806
92	row92_col1	row92_col2	row92_col3	2680
93	row93_col1	row93_col2	row93_col3	262
94	row94_col1	row94_col2	row94_col3	6519
95	row95_col1	row95_col2	row95_col3	759
96	row96_col1	row96_col2	row96_col3	6375
97	row97_col1	row97_col2	row97_col3	9081
98	row98_col1	row98_col2	row98_col3	4303
99	row99_col1	row99_col2	row99_col3	5754
100	row100_col1	row100_col2	row100_col3	1597
101	row101_col1	row101_col2	row101_col3	5182
102	row102_col1	row102_col2	row102_col3	9637
103	row103_col1	row103_col2	row103_col3	7154
104	row104_col1	row104_col2	row104_col3	9772
105	row105_col1	row105_col2	row105_col3	1718
106	row106_col1	row106_col2	row106_col3	4120
107	row107_col1	row107_col2	row107_col3	3389
108	row108_col1	row108_col2	row108_col3	4259
109	row109_col1	row109_col2	row109_col3	3228
110	row110_col1	row110_col2	row110_col3	1003
111	row111_col1	row111_col2	row111_col3	9141
112	row112_col1	row112_col2	row112_col3	1266
113	row113_col1	row113_col2	row113_col3	6060
114	row114_col1	row114_col2	row114_col3	2980
115	row115_col1	row115_col2	row115_col3	8329
116	row116_col1	row116_col2	row116_col3	1816
117	row117_col1	row117_col2	row117_col3	8823
118	row118_col1	row118_col2	row118_col3	9375
119	row119_col1	row119_col2	row119_col3	1755
120	row120_col1	row120_col2	row120_col3	625
121	row121_col1	row121_col2	row121_col3	3230
122	row122_col1	row122_col2	row122_col3	9120
123	row123_col1	row123_col2	row123_col3	5740
124	row124_col1	row124_col2	row124_col3	5877
125	row125_col1	row125_col2	row125_col3	6483
126	row126_col1	row126_col2	row126_col3	9866
127	row127_col1	row127_col2	row127_col3	5920
128	row128_col1	row128_col2	row128_col3	2589
129	row129_col1	row129_col2	row129_col3	6380
130	row130_col1	row130_col2	row130_col3	2879
131	row131_col1	row131_col2	row131_col3	4505
132	row132_col1	row132_col2	row132_col3	7645
133	row133_col1	row133_col2	row133_col3	1383
134	row134_col1	row134_col2	row134_col3	4201
135	row135_col1	row135_col2	row135_col3	8936
136	row136_col1	row136_col2	row136_col3	6499
137	row137_col1	row137_col2	row137_col3	697
138	row138_col1	row138_col2	row138_col3	5193
139	row139_col1	row139_col2	row139_col3	2390
140	row140_col1	row140_col2	row140_col3	1722
141	row141_col1	row141_col2	row141_col3	2058
142	row142_col1	row142_col2	row142_col3	5570
143	row143_col1	row143_col2	row143_col3	5749
144	row144_col1	row144_col2	row144_col3	5087
145	row145_col1	row145_col2	row145_col3	8693
146	row146_col1	row146_col2	row146_col3	3714
147	row147_col1	row147_col2	row147_col3	3157
148	row148_col1	row148_col2	row148_col3	8040
149	row149_col1	row149_col2	row149_col3	3359
150	row150_col1	row150_col2	row150_col3	6993
151	row151_col1	row151_col2	row151_col3	1433
152	row152_col1	row152_col2	row152_col3	5627
153	row153_col1	row153_col2	row153_col3	3292
154	row154_col1	row154_col2	row154_col3	3825
155	row155_col1	row155_col2	row155_col3	7406
156	row156_col1	row156_col2	row156_col3	3655
157	row157_col1	row157_col2	row157_col3	4953
158	row158_col1	row158_col2	row158_col3	4600
159	row159_col1	row159_col2	row159_col3	6774
160	row160_col1	row160_col2	row160_col3	5397
161	row161_col1	row161_col2	row161_col3	8781
162	row162_col1	row162_col2	row162_col3	336
163	row163_col1	row163_col2	row163_col3	3483
164	row164_col1	row164_col2	row164_col3	6128
165	row165_col1	row165_col2	row165_col3	5792
166	row166_col1	row166_col2	row166_col3	6326
167	row167_col1	row167_col2	row167_col3	2374
168	row168_col1	row168_col2	row168_col3	2812
169	row169_col1	row169_col2	row169_col3	6590
170	row170_col1	row170_col2	row170_col3	1853
171	row171_col1	row171_col2	row171_col3	2659
172	row172_col1	row172_col2	row172_col3	5349
173	row173_col1	row173_col2	row173_col3	8152
174	row174_col1	row174_col2	row174_col3	2109
175	row175_col1	row175_col2	row175_col3	7463
176	row176_col1	row176_col2	row176_col3	844
177	row177_col1	row177_col2	row177_col3	4316
178	row178_col1	row178_col2	row178_col3	8060
179	row179_col1	row179_col2	row179_col3	9223
180	row180_col1	row180_col2	row180_col3	7551
181	row181_col1	row181_col2	row181_col3	4739
182	row182_col1	row182_col2	row182_col3	6242
183	row183_col1	row183_col2	row183_col3	4122
184	row184_col1	row184_col2	row184_col3	5612
185	row185_col1	row185_col2	row185_col3	3417
186	row186_col1	row186_col2	row186_col3	8390
187	row187_col1	row187_col2	row187_col3	7532
188	row188_col1	row188_col2	row188_col3	7302
189	row189_col1	row189_col2	row189_col3	369
190	row190_col1	row190_col2	row190_col3	5493
191	row191_col1	row191_col2	row191_col3	571
192	row192_col1	row192_col2	row192_col3	7347
193	row193_col1	row193_col2	row193_col3	1009
194	row194_col1	row194_col2	row194_col3	9712
195	row195_col1	row195_col2	row195_col3	4640
196	row196_col1	row196_col2	row196_col3	1098
197	row197_col1	row197_col2	row197_col3	1781
198	row198_col1	row198_col2	row198_col3	4726
199	row199_col1	row199_col2	row199_col3	2215
200	row200_col1	row200_col2	row200_col3	3189
201	row201_col1	row201_col2	row201_col3	2796
202	row202_col1	row202_col2	row202_col3	2120
203	row203_col1	row203_col2	row203_col3	5270
204	row204_col1	row204_col2	row204_col3	1714
205	row205_col1	row205_col2	row205_col3	8230
206	row206_col1	row206_col2	row206_col3	95
207	row207_col1	row207_col2	row207_col3	8567
208	row208_col1	row208_col2	row208_col3	1823
209	row209_col1	row209_col2	row209_col3	3063
210	row210_col1	row210_col2	row210_col3	4392
211	row211_col1	row211_col2	row211_col3	9015
212	row212_col1	row212_col2	row212_col3	3072
213	row213_col1	row213_col2	row213_col3	6804
214	row214_col1	row214_col2	row214_col3	9689
215	row215_col1	row215_col2	row215_col3	5184
216	row216_col1	row216_col2	row216_col3	7386
217	row217_col1	row217_col2	row217_col3	2204
218	row218_col1	row218_col2	row218_col3	5558
219	row219_col1	row219_col2	row219_col3	8071
220	row220_col1	row220_col2	row220_col3	6004
221	row221_col1	row221_col2	row221_col3	4132
222	row222_col1	row222_col2	row222_col3	4357
223	row223_col1	row223_col2	row223_col3	6214
224	row224_col1	row224_col2	row224_col3	4118
225	row225_col1	row225_col2	row225_col3	2962
226	row226_col1	row226_col2	row226_col3	629
227	row227_col1	row227_col2	row227_col3	9677
228	row228_col1	row228_col2	row228_col3	2498
229	row229_col1	row229_col2	row229_col3	5713
230	row230_col1	row230_col2	row230_col3	6828
231	row231_col1	row231_col2	row231_col3	3441
232	row232_col1	row232_col2	row232_col3	3173
233	row233_col1	row233_col2	row233_col3	9668
234	row234_col1	row234_col2	row234_col3	5722
235	row235_col1	row235_col2	row235_col3	6788
236	row236_col1	row236_col2	row236_col3	6616
237	row237_col1	row237_col2	row237_col3	6258
238	row238_col1	row238_col2	row238_col3	8993
239	row239_col1	row239_col2	row239_col3	622
240	row240_col1	row240_col2	row240_col3	8222
241	row241_col1	row241_col2	row241_col3	492
242	row242_col1	row242_col2	row242_col3	3785
243	row243_col1	row243_col2	row243_col3	2491
244	row244_col1	row244_col2	row244_col3	7873
245	row245_col1	row245_col2	row245_col3	3824
246	row246_col1	row246_col2	row246_col3	6533
247	row247_col1	row247_col2	row247_col3	3566
248	row248_col1	row248_col2	row248_col3	126
249	row249_col1	row249_col2	row249_col3	8645
250	row250_col1	row250_col2	row250_col3	7436
251	row251_col1	row251_col2	row251_col3	3402
252	row252_col1	row252_col2	row252_col3	7839
253	row253_col1	row253_col2	row253_col3	9775
254	row254_col1	row254_col2	row254_col3	4482
255	row255_col1	row255_col2	row255_col3	1619
256	row256_col1	row256_col2	row256_col3	8321
257	row257_col1	row257_col2	row257_col3	3142
258	row258_col1	row258_col2	row258_col3	7666
259	row259_col1	row259_col2	row259_col3	4495
260	row260_col1	row260_col2	row260_col3	5486
261	row261_col1	row261_col2	row261_col3	2403
262	row262_col1	row262_col2	row262_col3	995
263	row263_col1	row263_col2	row263_col3	7932
264	row264_col1	row264_col2	row264_col3	8488
265	row265_col1	row265_col2	row265_col3	1930
266	row266_col1	row266_col2	row266_col3	6441
267	row267_col1	row267_col2	row267_col3	1827
268	row268_col1	row268_col2	row268_col3	5414
269	row269_col1	row269_col2	row269_col3	98
270	row270_col1	row270_col2	row270_col3	7847
271	row271_col1	row271_col2	row271_col3	804
272	row272_col1	row272_col2	row272_col3	7598
273	row273_col1	row273_col2	row273_col3	3638
274	row274_col1	row274_col2	row274_col3	2155
275	row275_col1	row275_col2	row275_col3	6887
276	row276_col1	row276_col2	row276_col3	3561
277	row277_col1	row277_col2	row277_col3	7102
278	row278_col1	row278_col2	row278_col3	7266
279	row279_col1	row279_col2	row279_col3	9214
280	row280_col1	row280_col2	row280_col3	8481
281	row281_col1	row281_col2	row281_col3	5192
282	row282_col1	row282_col2	row282_col3	3181
283	row283_col1	row283_col2	row283_col3	5566
284	row284_col1	row284_col2	row284_col3	8680
285	row285_col1	row285_col2	row285_col3	350
286	row286_col1	row286_col2	row286_col3	4013
287	row287_col1	row287_col2	row287_col3	4396
288	row288_col1	row288_col2	row288_col3	7652
289	row289_col1	row289_col2	row289_col3	8079
290	row290_col1	row290_col2	row290_col3	3834
291	row291_col1	row291_col2	row291_col3	8171
292	row292_col1	row292_col2	row292_col3	7151
293	row293_col1	row293_col2	row293_col3	8393
294	row294_col1	row294_col2	row294_col3	2674
295	row295_col1	row295_col2	row295_col3	9331
296	row296_col1	row296_col2	row296_col3	5152
297	row297_col1	row297_col2	row297_col3	3347
298	row298_col1	row298_col2	row298_col3	5223
299	row299_col1	row299_col2	row299_col3	8508
300	row300_col1	row300_col2	row300_col3	5132
301	row301_col1	row301_col2	row301_col3	2280
302	row302_col1	row302_col2	row302_col3	9955
303	row303_col1	row303_col2	row303_col3	1962
304	row304_col1	row304_col2	row304_col3	9173
305	row305_col1	row305_col2	row305_col3	8981
306	row306_col1	row306_col2	row306_col3	5176
307	row307_col1	row307_col2	row307_col3	193
308	row308_col1	row308_col2	row308_col3	3678
309	row309_col1	row309_col2	row309_col3	4868
310	row310_col1	row310_col2	row310_col3	6742
311	row311_col1	row311_col2	row311_col3	7054
312	row312_col1	row312_col2	row312_col3	12
313	row313_col1	row313_col2	row313_col3	4380
314	row314_col1	row314_col2	row314_col3	509
315	row315_col1	row315_col2	row315_col3	7568
316	row316_col1	row316_col2	row316_col3	6581
317	row317_col1	row317_col2	row317_col3	9904
