1_scan_sort1	82.0	92.0	84.0	85.0	85.0	86.0	89.0	91.0	86.0	84.0	
1_scan_sort3	79.0	83.0	88.0	84.0	86.0	92.0	86.0	92.0	86.0	84.0	
1_scan_sort6	79.0	87.0	87.0	88.0	84.0	87.0	89.0	88.0	91.0	87.0	
1_scan_sort9	83.0	93.0	86.0	86.0	88.0	86.0	88.0	88.0	86.0	87.0	
1_scan_sort12	81.0	86.0	93.0	86.0	83.0	89.0	86.0	86.0	87.0	89.0	
100_scan_sort1	80.0	90.0	86.0	91.0	86.0	83.0	85.0	86.0	87.0	85.0	
100_scan_sort3	82.0	86.0	84.0	83.0	87.0	86.0	87.0	86.0	84.0	85.0	
100_scan_sort6	83.0	87.0	86.0	87.0	87.0	86.0	87.0	87.0	87.0	86.0	
100_scan_sort9	82.0	87.0	87.0	87.0	88.0	87.0	86.0	84.0	92.0	88.0	
100_scan_sort12	81.0	89.0	86.0	86.0	87.0	91.0	89.0	86.0	94.0	82.0	
1k_scan_sort1	79.0	86.0	86.0	85.0	83.0	89.0	90.0	91.0	85.0	92.0	
1k_scan_sort3	79.0	85.0	86.0	85.0	85.0	86.0	85.0	92.0	87.0	86.0	
1k_scan_sort6	83.0	87.0	82.0	92.0	86.0	93.0	88.0	84.0	87.0	86.0	
1k_scan_sort9	81.0	87.0	93.0	88.0	81.0	92.0	82.0	89.0	84.0	88.0	
1k_scan_sort12	81.0	87.0	87.0	83.0	87.0	89.0	83.0	84.0	87.0	88.0	
10k_scan_sort1	79.0	86.0	81.0	85.0	85.0	86.0	82.0	82.0	86.0	91.0	
10k_scan_sort3	80.0	85.0	84.0	87.0	86.0	85.0	85.0	90.0	87.0	85.0	
10k_scan_sort6	80.0	91.0	92.0	85.0	85.0	84.0	84.0	85.0	85.0	85.0	
10k_scan_sort9	81.0	84.0	89.0	86.0	85.0	85.0	84.0	85.0	89.0	87.0	
10k_scan_sort12	82.0	89.0	88.0	87.0	89.0	88.0	88.0	88.0	84.0	85.0	
50k_scan_sort1	78.0	89.0	86.0	87.0	86.0	84.0	90.0	84.0	90.0	89.0	
50k_scan_sort3	83.0	91.0	84.0	86.0	88.0	87.0	83.0	87.0	86.0	84.0	
50k_scan_sort6	80.0	84.0	92.0	86.0	88.0	89.0	84.0	94.0	87.0	185.0	
50k_scan_sort9	80.0	90.0	93.0	84.0	87.0	88.0	87.0	84.0	88.0	89.0	
50k_scan_sort12	83.0	94.0	85.0	85.0	85.0	87.0	89.0	87.0	88.0	89.0	
100k_scan_sort1	78.0	89.0	86.0	80.0	86.0	86.0	90.0	83.0	83.0	85.0	
100k_scan_sort3	79.0	87.0	92.0	89.0	86.0	90.0	85.0	179.0	92.0	92.0	
100k_scan_sort6	83.0	86.0	86.0	87.0	94.0	91.0	92.0	85.0	86.0	85.0	
100k_scan_sort9	80.0	85.0	85.0	84.0	88.0	87.0	86.0	89.0	81.0	85.0	
100k_scan_sort12	79.0	89.0	88.0	90.0	89.0	87.0	88.0	89.0	88.0	90.0	
200k_scan_sort1	79.0	88.0	83.0	380.0	90.0	86.0	89.0	91.0	85.0	151.0	
200k_scan_sort3	79.0	85.0	86.0	87.0	87.0	85.0	87.0	84.0	82.0	84.0	
200k_scan_sort6	82.0	88.0	85.0	87.0	93.0	87.0	87.0	87.0	86.0	92.0	
200k_scan_sort9	81.0	158.0	88.0	88.0	87.0	93.0	87.0	87.0	89.0	87.0	
200k_scan_sort12	81.0	88.0	86.0	93.0	89.0	85.0	90.0	87.0	89.0	87.0	
300k_scan_sort1	83.0	92.0	84.0	85.0	85.0	91.0	84.0	86.0	85.0	108.0	
300k_scan_sort3	79.0	85.0	120.0	158.0	102.0	128.0	87.0	85.0	88.0	92.0	
300k_scan_sort6	80.0	85.0	93.0	88.0	87.0	85.0	85.0	92.0	92.0	99.0	
300k_scan_sort9	83.0	89.0	89.0	87.0	86.0	88.0	81.0	87.0	87.0	87.0	
300k_scan_sort12	204.0	92.0	89.0	86.0	88.0	88.0	85.0	88.0	88.0	89.0	
400k_scan_sort1	80.0	84.0	85.0	84.0	88.0	90.0	92.0	86.0	87.0	92.0	
400k_scan_sort3	101.0	88.0	83.0	89.0	92.0	90.0	93.0	93.0	88.0	91.0	
400k_scan_sort6	128.0	86.0	88.0	87.0	87.0	85.0	84.0	88.0	87.0	88.0	
400k_scan_sort9	80.0	94.0	94.0	89.0	85.0	91.0	88.0	88.0	86.0	94.0	
400k_scan_sort12	213.0	90.0	88.0	87.0	88.0	94.0	83.0	94.0	90.0	86.0	
500k_scan_sort1	1645.0	92.0	84.0	92.0	85.0	92.0	92.0	94.0	85.0	93.0	
500k_scan_sort3	1512.0	105.0	85.0	94.0	90.0	87.0	87.0	91.0	85.0	87.0	
